,mu
"US Treasuries, Short/Intermediate",0.03832807
"US Treasuries, Long",0.04800631
US Taxable Munis,0.03857081
"Global ex-US Government, hedged",0.0296664
US Public Corporates IG AAA,0.04227445999999999
US Public Corporates IG AA,0.04256675
US Public Corporates IG A,0.04803165
US Public Corporates IG BBB,0.047218029999999994
"US Public Corporates, HY Intermediate",0.06372964487804877
"US Public Corporates, HY Long",0.07197922487804878
"Global ex-US Corporates, hedged",0.03851025
Residential Mortgage-Backed Securities (RMBS),0.04830881
Commercial Mortgage-Backed Securities (CMBS),0.04592465999999999
Asset-Backed Securities (ABS),0.043074989999999994
Corporate IG Private Placement A,0.05453231
Corporate IG Private Placement BBB,0.056536710000000004
Corporate HY Private (Leveraged Loans),0.05574758439024391
Residential Mortgage Whole Loans,0.04795463999999999
Commercial Mortgage Whole Loans,0.04756515
Private Equity,0.09676301104468368
"Real Estate (via partnerships, equity)",0.054
