asset,R2
"US Treasuries, Short/Intermediate",0.9641441921551586
"US Treasuries, Long",0.896905150422331
US Taxable Munis,0.5784581667651784
"Global ex-US Government, hedged",0.6418317689334401
US Public Corporates IG AAA,0.9211958762501982
US Public Corporates IG AA,0.9203201045286683
US Public Corporates IG A,0.9351354590251686
US Public Corporates IG BBB,0.9078550338839146
"US Public Corporates, HY Intermediate",0.6816945638385927
"US Public Corporates, HY Long",0.7219615610591513
"Global ex-US Corporates, hedged",0.9102983244468378
Residential Mortgage-Backed Securities (RMBS),0.7215798814020655
Commercial Mortgage-Backed Securities (CMBS),0.3588572342546891
Asset-Backed Securities (ABS),0.5526311736746974
Corporate IG Private Placement A,0.2481769530085206
Corporate IG Private Placement BBB,0.21529541734862145
Corporate HY Private (Leveraged Loans),0.8804227856059865
Residential Mortgage Whole Loans,0.7865585350820189
Commercial Mortgage Whole Loans,0.32700783798552224
Private Equity,0.8033259439239994
"Real Estate (via partnerships, equity)",0.5239143500789489
